"Witch Doctor,Dawnbreaker,Ember Spirit,Lion","Pudge,Techies,Clinkz,Mars,Anti-Mage",1,Juggernaut,0
Marci,Pudge,4,Vengeful Spirit,1
"Axe,Warlock,Mirana,Luna","Pudge,Spirit Breaker,Medusa,Venomancer,Beastmaster",1,Wraith King,0
Sniper,"Venomancer,Earthshaker",1,Wraith King,1
"Silencer,Phantom Lancer,Shadow Shaman","Sven,Zeus,Necrophos",1,Wraith King,1
"Leshrac,Jakiro,Vengeful Spirit,Morphling","Huskar,Spectre,Warlock,Nyx Assassin,Winter Wyvern",1,Alchemist,0
,Naga Siren,1,Wraith King,0
"Windranger,Luna",Lina,1,Terrorblade,0
Invoker,"Enchantress,Anti-Mage",1,Lifestealer,0
"Enchantress,Enigma",Vengeful Spirit,3,Pudge,0
"Tusk,Wraith King","Pudge,Lina,Zeus",1,Juggernaut,1
"Monkey King,Juggernaut,Queen Of Pain,Enchantress","Spectre,Tusk,Windranger,Nyx Assassin,Sand King",3,Huskar,0
Viper,"Nature's Prophet,Lion",3,Centaur Warrunner,0
,,1,Faceless Void,1
,"Enigma,Ember Spirit,Snapfire,Templar Assassin",1,Sven,1
"Lifestealer,Slardar,Lion","Necrophos,Shadow Fiend",2,Zeus,0
"Razor,Magnus,Lion","Shadow Shaman,Zeus,Slardar,Pangolier",1,Anti-Mage,0
"Luna,Rubick,Warlock,Tiny","Zeus,Timbersaw,Bristleback,Nyx Assassin",1,Spectre,0
"Lion,Dark Willow,Weaver,Sven","Shadow Fiend,Muerta,Huskar,Techies",2,Viper,1
"Spectre,Warlock,Keeper Of The Light,Earthshaker","Phantom Lancer,Necrophos,Shadow Shaman,Dawnbreaker,Enchantress",2,Viper,1
,Pangolier,1,Faceless Void,1
"Shadow Shaman,Centaur Warrunner,Zeus,Witch Doctor","Bloodseeker,Alchemist,Drow Ranger,Ogre Magi",1,Faceless Void,0
Dark Willow,"Troll Warlord,Lion",1,Faceless Void,1
Pugna,,1,Juggernaut,1
"Pudge,Crystal Maiden,Storm Spirit","Sniper,Disruptor",1,Faceless Void,1
"Snapfire,Hoodwink","Lion,Skywrath Mage",1,Faceless Void,1
"Sniper,Zeus,Axe,Winter Wyvern","Pudge,Invoker,Phantom Lancer,Lion",1,Faceless Void,0
Witch Doctor,,1,Faceless Void,1
"Invoker,Zeus","Medusa,Lion",1,Juggernaut,1
"Ogre Magi,Ringmaster",Spirit Breaker,1,Faceless Void,0
"Necrophos,Queen Of Pain,Batrider,Lion",,1,Weaver,1
